finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info
[pk-gpo] connector p2t2 probe inner side corrosion pos 12 o'clock on nose cowl eng #1 (pn: sj30820 sn: sb/rr/t700/2618),"['do remove light corrosion on connector p', 'do dvi to make sure no other damage']","[3.0, 3.0]","['w301', 'w301']",nan
[pk-gpo] fastener loose at stiffner inner side pos 5 o'clock on nose cowl eng #1 (pn: sj30820 sn: sb/rr/t700/2618),"['obey all warnings, cautions, and notes a', 'do remove fastener on stiffner inner sid', 'install the new stiffener']","[0.1, 3.0, 3.0]","['w301', 'w301', 'w301']",0
[pk-gpo] fasteners corrosion on nose cowl eng #1 (pn: sj30820 sn: sb/rr/t700/2618),"['perform replace fasteners position 1, 2,']",[12.0],['w301'],0
[pk-gpo] outer boundary angle plate nut corrosion on nose cowl eng #1 (pn: sj30820 sn: sb/rr/t700/2618),['replace plate nut on outer boundary angl'],[2.0],['w301'],0
[pk-gpt] pse do seal rh windshield,['pse do seal rh windshield'],[2.0],['gah210zz'],nan
"[ramp check] pk-gpo smoking sign at seat number 6kh, 21acedkh, 23kh not illuminate","['warning:', 'perform troubleshot no smoking sign prob', 'after performed tsm, pse define root cau', 'warning:', 'perform troubleshot no smoking sign prob', 'after performed tsm, pse define root cau']","[0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","['cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1']",0
[repair] pk-gha relaminate armcap 4 ea,"['warning:', 'perform relaminate leather armcap post s', 'warning:', 'perform relaminate leather armcap qty 4e']","[0.0, 1.0, 0.0, 4.0]","['w101', 'w101', 'w101', 'w101']",0
[repair] pk-gpo repair access door panel 1 ea lav post l11,"['warning :', 'do insert body filler on hinge of access', 'do repainting access door panel after re']","[0.0, 3.0, 2.0]","['gah260c1', 'gah260c1', 'gah260c1']","ec3532ab:76381 (adhesive bms5-105 tyii cli(as ec3532ba))
34655-7708-7:fape3 (alexit int paint aic 2.16 fog)
34555-0000-0:fape3 (alexit hardener 345-55)"
[repair] pk-gpo repair lavatory waste door panel hinge,"['warning:', 'repair lavatory door access panel', 'repaint lavatory door access panel']","[1.0, 1.0, 0.0]","['cgk3t3c1', 'w401', 'w103']",0
"[robbing] pk-gha, install new faucet module assy lav l73","['warning :', 'do open access for faucet assy', 'do install faucet assy of lav 73<(>,<)>']","[0.0, 1.0, 0.0]","['gah260c1', 'gah260c1', 'gah260c1']",nan
[robbing] pk-gpo remove control module post lav l53 to support pk-gpt,"['[robbing] pk-gpo remove control module', 'remove control moduel post lav l53 and c']","[0.0, 1.0]","['gah210zz', 'gah210zz']",0
[robbing] pk-gpo remove pbe 8 ea,"['warning:', 'remove smoke hood post on bulkhead (near', 'remove smoke hood post on bulkhead (near', 'remove smoke hood post beside cabin atte', 'remove smoke hood post beside cabin atte', 'remove smoke hood post bulk head partiti', 'remove smoke hood post bulk head lavator', 'remove smoke hood post bulk head partiti', 'remove smoke hood post bulk head lavator']","[0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",0
[special request] pk-gha actual check lavatory shroud and seater condition,"['warning:', 'do actual check lav shroud and seater co']","[0.0, 1.0]","['gah260c1', 'gah260c1']",nan
[special request] pk-gpo actual check lavatory shroud and seater condition,"['warning:', 'do actual check lav shroud and seater co']","[0.0, 1.0]","['gah260c1', 'gah260c1']",nan
[special request] pk-gpo installation seat 6dg & 32def after photoshoot event,"['note: assembly procedures will vary slig', 'do install seat 6dg ref cmm 25-26-78 rev', 'do install seat 32 defg ref cmm 25-23-58']","[0.0, 2.5, 2.5]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",nan
[special request] pk-gpo removal seat 6dg & 32defg for preparing photoshoot 26 maret 2019,"['warning:', 'do open access photoshoot by removing se']","[0.0, 3.0]","['gah260zz', 'gah260zz']",nan
[sr] pk-gha aircraft residual disinsection,"['preparation', 'treatment process', 'finishing']","[0.0, 12.0, 0.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",0
[sr] pk-gpt a330 aircraft exterior dry washing,"['preparation', 'procedure', 'finishing']","[5.0, 35.0, 5.0]","['gah260zz', 'gah260zz', 'gah260zz']",0
[sr] pk-gpt aircraft residual disinsection,"['preparation', 'treatment process', 'finishing']","[0.0, 12.0, 0.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",0
[sr] pk-gpt general cabin interior cleaning,['perform basic interior cleaning ref to'],[40.0],['cgk3t3zz'],0
[umr] pk-gha need apu exciter,['[umr] pk-gha need apu exciter'],[0.0],['gah220zz'],3876195-9:99193 (exciter-ignition)
[umr] pk-gha need extention belt,['dear aogdesk'],[1.0],['cgk3t3zz'],1069-1-181-8098:83945 (extention belt)
[umr] pk-gha pse request part inflatable buckle half assembly rh,['[umr] pk-gha pse request part inflatable'],[0.0],['gah260zz'],7266-220181a:35fb9 (inflatable buckle half assembly rh)
[umr] pk-gha pse request part lap belt,['[umr] pk-gha pse request part lap belt'],[0.0],['gah260zz'],7266-1-20115v81:83945 (lap belt assy - inflator rh)
[umr] pk-gha request part infltble bckle,['[umr] pk-gha request part inflatable buc'],[0.0],['gah260zz'],7266-110181a:35fb9 (inflatable buckle half assembly lh)
"[umr] pk-gha request part maker, espresso","['[umr] pk-gha request part maker, espress']",[0.0],['gah260zz'],hfe2005-01:aeaa2 (espresso maker)
[umr] pk-gpo bulk cargo stanchion broken,['[umr] pk-gpo bulk cargo stanchion broken'],[0.0],['gah220zz'],"ha72-0230810:k2429 (lkgunit)
nas1611-131:80205 (packing)"
[umr] pk-gpo pse request part coupler,['[umr] pk-gpo pse request part coupler'],[0.0],['gah260zz'],2kilf16:73992 (coupler)
[umr] pk-gpo request part controller,['[umr] pk-gpo request part controller'],[0.0],['gah260c1'],"ps7-85501-01hf03-b:08748 (controller, i motion a330-243)"
[umr] pk-gpo request part for seat reconfig,['pse provide part below base on aogdesk'],[0.0],['gah260zz'],"abs0696x2-2-10:fape3 (stud assy)
1010260-301:92802 (shroud - seb cover)
1010260-302:92802 (shroud - seb cover)
abs5098au29-12:fape3 (section)
abs5098au29-12:fape3 (section)"
[umr] pk-gpo request part legrest actuator,['part number : ps7-41100-02'],[0.0],['gah260zz'],ps7-41100-02:1ysk1 (legrest actuator)
[umr] pk-gpo request part switch-toilet,['[umr] pk-gpo request part switch-toilet'],[0.0],['gah260zz'],3389-10:d1347 (switch-toilet)
[umr] pk-gpt request part bolt - shoulder,['[umr] pk-gpt request part bolt - shoulde'],[0.0],['gah260zz'],"1002829-001:0pls1 (bolt - shoulder)
1002829-001:0pls1 (bolt - shoulder)"
[umr] pk-gpt request part restraint-4pt,['[umr] pk-gpt request part restraint-4pt'],[0.0],['gah260zz'],18-0100k0kzn-10:c1624 (restraint-4pt rotary)
[umr] pk-gpt request part restraint-4pt rotary,['[umr] pk-gpt request part restraint-4pt'],[0.0],['gah260zz'],18-0100k0kzn-10:c1624 (restraint-4pt rotary)
[umr] pk-gpt request part: legrest actuator,['[umr] pk-gpt request part: legrest actua'],[0.0],['gah260c1'],ps7-41100-02:1ysk1 (legrest actuator)
[umr]pk-gha request part lap belt assy - inflator lh,['[umr]pk-gha request part lap belt assy -'],[0.0],['gah260zz'],7266-1-10115v81-exp:83945 (lap belt assy - inflator lh)
[umr]pk-gpt pse request part air chiller,['[umr]pk-gpt pse request part air chiller'],[0.0],['gah260zz'],267-100:60299 (air chiller)
[umr]pk-gpt pse request part espresso.m,['[umr]pk-gpt pse request part espresso.m'],[0.0],['gah260zz'],"hfe95-20d:aeaa2 (maker, espresso)"
"[umr]pk-gpt pse request part maker, espresso","['[umr]pk-gpt pse request part maker, espr']",[0.0],['gah260c1'],"hfe95-20d:aeaa2 (maker, espresso)"
[update eel and lopa] pk-gpo for iosa audit,"['please replace the eel and lopa in the c', 'please take a photo of the eel and lopa']","[0.1, 0.1]","['gah260c1', 'gah260c1']",nan
access panel 149 cb support rod paint peel off,['prepare and apply paint'],[4.0],['w403'],0
access panel 149ab support rod paint peel off,['prepare and apply paint'],[4.0],['w403'],0
access panel 149bb support rod paint peel off,['prepare and apply paint'],[4.0],['w403'],0
access panel 192 rb fwd side paint errosion,['do repair coating on the surface'],[4.0],['w403'],0
access panel 193 ab fwd corner paint errosion,['do repair coating on the surface'],[4.0],['w403'],0
access panel 195bb support rod paint peel off,['prepare and apply paint'],[4.0],['w403'],0
access panel at fwd belly fairing panel 191bb was paint erosion,"['do repair coating on the surface,,']",[10.0],['w403'],"10p2044mnf-ec291-tr114:91342 (epoxy primer yellow)
ecl-g-1622-pc233-tr109:91342 (paint-eclipse-white bac70846)"
accostic panel eng #2 ex-repair broken (blue filler ex-repair)at 12 o'clock,"['obey all warning, note and caution as gi', 'do perform repair accostic panel eng #2']","[0.0, 8.0]","['w302', 'w302']",nan
acm compt service light not ill 2ea,"['obey all warnings, cautions and notes as', 'replace acm compartment service light la', 'do functional test of the acm lighting']","[0.5, 4.0, 3.0]","['gah330e1', 'gah310e1', 'gah310e1']",0
acp #3 receiver button broken,"['obey all warnings, cautions and notes as', 'replace acp #3', 'do the bite test of the audio system', 'restore area back to its serviceable con']","[0.5, 3.0, 1.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
actual check of all t-fitting in galley 4 and replace as necessary,"['note:', 'do actual check of all t-fitting (140) a', 'do replacement of t-fitting (140) and th']","[0.0, 0.0, 3.0]","['cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1']","2kilf16:73992 (coupler)
as5197j060604:81343 (t - fitting)"
"actual check screw condition oven,coffee maker and water boiler all position","['warning:', 'do check availability & condition oven,c', 'warning:', 'do check availability & condition oven,c']","[0.0, 1.0, 0.0, 1.0]","['gah260zz', 'gah260zz', 'cgk3t3zz', 'cgk3t3zz']",nan
add - during wac found eng 2 lh t/r cowling with peeled off paint,['do repair coating on the surface'],[4.0],['w403'],0
add - during wac lh wing fix fairing #2 and #4 with missing decal,"['fabricate the placard', 'install exterior decal']","[4.0, 4.0]","['w403', 'w403']",0
adiru #3 taken for pk-gpz,"['obey all of the warnings, cautions, and', 'install adiru #3', 'do system test of the adirs', '*if the aircraft in the cat iii conditio']","[0.5, 3.0, 4.0, 3.0]","['gah330e1', 'gah310e1', 'gah310e1', 'gah310e1']",0
adjustment of the waste drain control-cable(s) pn 9633502-3001,"['warning : make sure that you obey all th', 'ref task 38-31-62-820-801-a', 'do actual functional test from the cable']","[0.0, 2.0, 0.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",ms24665-151:96906 (cotter pin (r/b bacp18bc02a04p))
aft belly fairing support structure has corrosion btw fr53.6 - fr53.8,"['remove platenut for repair access.', 'remove corrosion by blendout and mantain', 'restore appropriate surface protection a', 'install plate nuts.', 'repair assesment :']","[6.0, 6.0, 2.0, 6.0, 0.0]","['gah320s1', 'gah310s1', 'w403', 'gah310s1', 'gah310s1']",0
aft belly fairing support structure has screw stuck 12ea,"['remove screws.', 'replace broken plate-nuts, and domenuts.', 'install new screws.']","[8.0, 8.0, 1.0]","['gah320s1', 'gah310s1', 'gah310a1']",0
aft carco area 2 ea bracket of ceilling panel support light corrosion at fr 53.2 and y 2462,"['do removal light corrosion', 'apply appropriate surface protection']","[3.0, 2.0]","['gah320s1', 'w403']",0
aft cargo 1 ea bracket of ceilling panel support light corrosion at fr 53.2 and -y2452,"['do removal light corrosion', 'apply appropriate surface protection']","[3.0, 2.0]","['gah320s1', 'w403']",0
aft cargo 152cc found scratch,['cover by mdr 804064725'],[2.0],['gah320a1'],nan
aft cargo aft guide entrance taken for pk-gpx,"['obey all of the warnings and cautions gi', 'install aft cargo aft guide entrance']","[0.5, 1.0]","['gah320a1', 'gah320a1']",0
aft cargo ballmat drain pan found nut broken and stuck 2 ea between fr 64 - fr 65,"['obey all warnings, cautions and notes as', 'remove stuck nut', 'replace nut', 'replace bonding jumper', 'do bonding jumper resistance test', 'restore area back to its serviceable con']","[0.1, 4.0, 2.0, 2.0, 2.0, 0.5]","['gah310e1', 'gah310s1', 'gah310e1', 'gah310e1', 'gah310e1', 'gah310e1']",0
aft cargo ceiling panel 151 cc found puncture,"['obey all warnings, cautions and notes as', 'remove aft cargo ceiling panel 151cc', 'do detail visual inspections to determin', 'perform permanent repair cargo ceiling p', 'apply a/c interior paint as existing col', 'install aft cargo ceiling panel 151cc', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 12.0, 4.0, 2.0, 0.5]","['gah310a1', 'gah310a1', 'w302', 'w302', 'w403', 'gah310a1', 'gah310a1']",0
aft cargo ceiling panel 151 gc found puncture,"['obey all warnings, cautions and notes as', 'remove aft cargo ceiling panel 151gc', 'do detail visual inspections to determin', 'perform permanent repair cargo ceiling p', 'apply a/c interior paint as existing col', 'install aft cargo ceiling panel 151gc', 'restore area back to its serviceable con']","[0.5, 2.0, 4.0, 8.0, 3.0, 2.0, 0.5]","['gah310a1', 'gah310a1', 'w302', 'w302', 'w403', 'gah310a1', 'gah310a1']",0
aft cargo ceiling panel 151 jc found puncture,"['obey all warnings, cautions and notes as', 'remove aft cargo ceiling panel 151jc', 'do detail visual inspections to determin', 'perform permanent repair cargo ceiling p', 'apply a/c interior paint as existing col', 'install aft cargo ceiling panel 151jc', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 16.0, 4.0, 2.0, 0.5]","['gah310a1', 'gah310a1', 'w302', 'w302', 'w403', 'gah310a1', 'gah310a1']",0
aft cargo ceiling panel 152 cc scratch,"['remove aft cargo ceiling panel', 'obey all warnings, cautions, and notes a', 'do detail visual inspections to determin', 'perform permanent repair cargo ceiling p', 'make sure there is no object left after', 'apply a/c interior paint as existing col', 'install aft cargo ceiling panel']","[3.0, 0.1, 2.0, 8.0, 1.0, 2.0, 3.0]","['gah320a1', 'w302', 'w302', 'w302', 'w302', 'w403', 'gah320a1']",0
aft cargo ceiling panel 152 dc broken,"['remove aft cargo ceiling panel 152dc', 'obey all warnings, cautions, and notes a', 'do detail visual inspections to determin', 'perform permanent repair cargo ceiling p', 'make sure there is no object left after', 'apply a/c interior paint as existing col', 'install aft cargo ceiling panel 152dc']","[2.0, 0.1, 2.0, 12.0, 1.0, 8.0, 2.0]","['gah320a1', 'w302', 'w302', 'w302', 'w302', 'w403', 'gah320a1']",0
aft cargo ceiling panel 152 fc scratch,"['remove aft cargo ceiling panel', 'obey all warnings, cautions, and notes a', 'do detail visual inspections to determin', 'perform permanent repair cargo ceiling p', 'make sure there is no object left after', 'apply a/c interior paint as existing col', 'install aft cargo ceiling panel']","[3.0, 0.1, 2.0, 8.0, 1.0, 6.0, 3.0]","['gah320a1', 'w302', 'w302', 'w302', 'w302', 'w403', 'gah320a1']",0
aft cargo ceiling panel 152 hc scratch,"['remove aft cargo ceiling panel 152hc', 'obey all warnings, cautions, and notes a', 'do detail visual inspections to determin', 'perform permanent repair cargo ceiling p', 'make sure there is no object left after', 'apply a/c interior paint as existing col', 'install aft cargo ceiling panel 152hc']","[2.0, 0.1, 2.0, 8.0, 1.0, 8.0, 2.0]","['gah320a1', 'w302', 'w302', 'w302', 'w302', 'w403', 'gah320a1']",0
aft cargo ceiling panel 152 lc found puncture and scratch,"['obey all warnings, cautions and notes as', 'remove aft cargo ceiling panel 152lc', 'do detail visual inspections to determin', 'perform permanent repair cargo ceiling p', 'apply a/c interior paint as existing col', 'install aft cargo ceiling panel 152lc', 'restore area back to its serviceable con']","[0.5, 2.0, 4.0, 8.0, 3.0, 2.0, 0.5]","['gah310a1', 'gah310a1', 'w302', 'w302', 'w403', 'gah310a1', 'gah310a1']",0
aft cargo ceiling panel 152bc broken,"['remove aft cargo ceiling panel 152bc', 'obey all warnings, cautions, and notes a', 'do detail visual inspections to determin', 'perform permanent repair cargo ceiling p', 'make sure there is no object left after', 'do repaint on the surface,,', 'install aft cargo ceiling panel 152bc']","[2.0, 0.1, 2.0, 8.0, 1.0, 8.0, 2.0]","['gah320a1', 'w302', 'w302', 'w302', 'w302', 'w403', 'gah320a1']",0
aft cargo ceiling support found light corrosion at fr 53.2,"['remove part for repair access.', 'remove light corrosion.', 'restore surface protection and paint fin', 'install part wet with sealant.']","[6.0, 10.0, 2.0, 6.0]","['gah310s1', 'gah310s1', 'w403', 'gah310s1']",0
aft cargo compartment door actuator found bonding broken 1 ea,"['obey all of the warnings, caution, and n', 'replace bonding jumper', 'do bonding jumper resistance test', 'restore area back to its serviceable con']","[0.1, 4.0, 2.0, 0.1]","['gah310e1', 'gah310e1', 'gah310e1', 'gah310e1']",0
aft cargo compartment door found bonding broken 1 ea,"['obey all of the warnings, caution, and n', 'replace bonding jumper resistance test', 'do bonding jumper resistance test', 'restore area back to its serviceable con']","[0.1, 4.0, 2.0, 0.1]","['gah310e1', 'gah310e1', 'gah310e1', 'gah310e1']",0
