finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info,plants_per_step,order_info
access for repair fitting at fr21/22/23 in fwd cargo,"['engineering note:', 'remove the door sill latches at fwd carg', 'remove the roller of door sill latch at', 'remove the entrance guide at forward car', 'remove the servo mechanism at forward ca', 'remove the manual release cable at forwa', 'engineering note:', 'prepare repair area, put plastic cover b', 'remove fasteners to repaired shear plate', 'do detailed visual inspection of all sur', 'do roto test inspection of all open hole', 'apply surface protection to all bare sur', 'install a new cargo sill support fitting', 're-install the shear plate portion, stra', 'apply fillet and fastener seal to repair', 'read and obey general repair requirement', 'apply paint finish and surface protectio', 'install the manual release cable at forw', 'install the servo mechanism at the forwa', 'install the entrance guide in the forwar', 'install roller of door sill latch in the', 'do opc of the door sill latches includin', 'restore area back to its serviceable con', 'engineering note:']","[1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 32.0, 4.0, 2.0, 2.0, 18.0, 14.0, 4.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330s1', 'gah330s1', 'gah330s1', 'gah330s1', 'w807', 'gah330s1', 'gah330s1', 'gah330s1', 'gah330s1', 'gah330s1', 'w403', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330zz']","bacr15bb5d13c:81205 (rivet)
dan5-5-5:d8518 (pin)
dan6-5-4:d8518 (pin)
ms21075l4:96906 (nut (tbr))
ms9320-11:81205 (washer flat old pn an960-516)
asna2529-5:f5442 (nut)
j082269-7:31645 (ball mat)
ccr264cs3-12:81205 (rivet, blind)
hl11vf6-10:92215 (hilok)
bacr15bb6d20c:81205 (rivet)
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))
en6081d6-12:i9005 (rivet)
en6081d6-12:i9005 (rivet)
pu665440:gmfdm (polyurethane topcoat grey)
ms24665-323:96906 (pin)
nas1097ad5-15:80205 (rivet)
nas1097ad4-20:80205 (rivet)
en6081d5-10:i9005 (rivet)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wsnc', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805431064
access panel 192 rb fwd side paint errosion,['do repair coating on the surface'],[4.0],['w403'],"41122-12dl-0-428:d2603 (alextt-h/s basecoat (cebu yellow 2015))
41114-000u-9-122:d2603 (alexit-h/s-basecoat transparent)
11344-1821-n-307:d2603 (seevenax-cf-h/s-primer 113-44)",['wspt'],805128911
access panel 193 ab fwd corner paint errosion,['do repair coating on the surface'],[4.0],['w403'],"41122-12dl-0-428:d2603 (alextt-h/s basecoat (cebu yellow 2015))
41114-000u-9-122:d2603 (alexit-h/s-basecoat transparent)
11344-1821-n-307:d2603 (seevenax-cf-h/s-primer 113-44)",['wspt'],805128910
access panel 333al found dome nut broken 6ea,"['obey all of the warnings, cautions, and', 'remove dome-nut strip for repair access.', 'remove broken dome nuts', 'install new domenuts', 'install dome-nut strip for restore acces', 'apply capseal at domenut and fillet seal', 'restore area back to its serviceable con']","[0.2, 4.0, 1.0, 5.0, 4.0, 2.0, 0.2]","['gah330s1', 'gah330s1', 'gah310s1', 'gah330s1', 'gah330s1', 'gah330s1', 'gah310s1']","ms20427m3-5:96906 (revet)
ms20427m3-5:96906 (revet)
nas1474r4:80205 (nut)
nsa5031-4-11:f5442 (bolt)
nsa5031-4-6:f5442 (bolt)
nsa5031-4-8:f5442 (bolt)
ps890b2:83574 (fuel tank sealant satuannya(qt/kg))
pr148af:92108 (adhesion promoter)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805386591
access panel vcc door 1 found not proper install,"['obey all of the warnings, cautions, and', 'do installation properly the acces inter', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah330c1', 'gah330c1', 'gah330c1']",,"['gah3', 'gah3', 'gah3']",805491697
access panel water drain valve 191 rb fwd side composite errosion,"['obey all of the warnings, caution, and n', 'remove access panel water drain valve 19', 'do visual inspection and measure damage', 'do permanent repair to the damage area', 'perform renewal of paint build-up of com', 'install access panel water drain valve 1', 'restore area back to its serviceable con']","[0.1, 1.0, 2.0, 6.0, 4.0, 1.0, 0.1]","['gah320a1', 'gah320a1', 'w302', 'w302', 'w403', 'gah320a1', 'gah320a1']","ea9321:33564 (two component epoxy adhesive (as9362016))
41122-908w-0-428:d2603 (alextt-h/s basecoat white bac 7067))
11344-1821-n-307:d2603 (seevenax-cf-h/s-primer 113-44)
41114-090g-9-122:d2603 (alexit-clearcoat 411-14 (colourless))","['gah3', 'gah3', 'wsst', 'wsst', 'wspt', 'gah3', 'gah3']",805498254
access panel water drain valve 192 rb composite errosion,"['obey all of the warnings, caution, and n', 'remove access panel water drain valve 19', 'do visual inspection and measure damage', 'do permanent repair to the damage area', 'perform renewal of paint build-up of', 'install access panel water drain valve 1', 'restore area back to its serviceable con']","[0.1, 1.0, 0.0, 0.0, 5.0, 1.0, 0.1]","['gah320a1', 'gah320a1', 'w302', 'w302', 'w403', 'gah320a1', 'gah320a1']","ea9321:33564 (two component epoxy adhesive (as9362016))
41122-908w-0-428:d2603 (alextt-h/s basecoat white bac 7067))
11344-1821-n-307:d2603 (seevenax-cf-h/s-primer 113-44)
41114-090g-9-122:d2603 (alexit-clearcoat 411-14 (colourless))","['gah3', 'gah3', 'wsst', 'wsst', 'wspt', 'gah3', 'gah3']",805497358
accses for replacement support fitting frame 21/22/23 fwd cargo,"['engineering note:', 'read and fully understad the specified m', 'remove the door sill latches at fwd carg', 'remove the roller of door sill latch at', 'remove the entrance guide at forward car', 'remove the servo mechanism at forward ca', 'remove the manual release cable at forwa', 'prepare repair area, put plastic cover b', 'remove fasteners to repaired shear plate', 'do detailed visual inspection of all sur', 'do roto test inspection of all open hole', 'apply surface protection to all bare sur', 'install a new cargo sill support fitting', 're-install the shear plate portion, stra', 'apply fillet and fastener seal to repair', 'read and obey general repair requirement', 'apply paint finish and surface protectio', 'install the manual release cable at forw', 'install the servo mechanism at the forwa', 'install the entrance guide in the forwar', 'install roller of door sill latch in the', 'do opc of the door sill latches includin', 'restore area back to its serviceable con', 'engineering note:']","[0.1, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 32.0, 4.0, 4.0, 2.0, 18.0, 14.0, 4.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0]","['gah310zz', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330s1', 'gah330s1', 'gah330s1', 'w807', 'gah330s1', 'gah330s1', 'gah330zz', 'gah330zz', 'gah330s1', 'w403', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330s1']","hl10vf5-4:92215 (pin)
hl10vf6-5:92215 (hi-lok)
hl70-6:92215 (collar (tbr))
ms21042-4:96906 (nut,self locking ( iat mechanism ))
ms21075l4:96906 (nut (tbr))
ms21250-04004:96906 (bolt)
abs0367-080:fape3 (stud)
asna2529-5:f5442 (nut)
nas1726c4p:80205 (nut)
nas1790-4r6:80205 (bolt)
nas1791a3-3:80205 (nut)
nas6603-3:80205 (bolt alt. pn.bacb30nf3-3)
nsa5075-5:f5442 (collar)
nsa5110-3-1:f5442 (nut)
ccr264cs3-12:81205 (rivet, blind)
hl10vf6-3:fape3 (hi-lock (tbr))
hl10vf6-4:fape3 (hi-lock (tbr))
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))
en6081d6-12:i9005 (rivet)
pu665440:gmfdm (polyurethane topcoat grey)
en6081d5-10:i9005 (rivet)
en6115-8-25:i9005 (bolt)
nsa5478bv3-3:fape3 (bolt)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wsnc', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805466574
acp at door 3rh blue light not illuminate,"['obey all of the warnings, cautions, and', 'do troubleshoot area call panel (acp) fa', 're connect the area call panel (acp)', 'do the interface and power-up test of th', 'do the system test of the smoke detectio', 'do the test of cabin signs through multi', 'restore area back to its serviceable con']","[0.1, 1.0, 0.5, 0.8, 0.8, 0.8, 0.1]","['gah330c1', 'gah330c1', 'gah330c1', 'gah330c1', 'gah330c1', 'gah330c1', 'gah330c1']",,"['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805462529
actuator door 1lh pressure at yellow area,"['obey all of the warnings, cautions, and', 'do special precautions before work on th', 'do charging of the door damper and emerg', 'do leak check on the door damper and eme', 'do special precautions after work on the', 'restore area back to its serviceable con']","[0.1, 0.8, 2.0, 0.8, 0.8, 0.1]","['gah330c1', 'gah330c1', 'gah330c1', 'gah330c1', 'gah330c1', 'gah330c1']",,"['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805477053
add - during wac found eng 2 lh t/r cowling with peeled off paint,['do repair coating on the surface'],[4.0],['w403'],"41122-908w-0-428:d2603 (alextt-h/s basecoat white bac 7067))
41114-000u-9-122:d2603 (alexit-h/s-basecoat transparent)
11344-1821-n-307:d2603 (seevenax-cf-h/s-primer 113-44)",['wspt'],805125509
add - during wac lh wing fix fairing #2 and #4 with missing decal,"['fabricate the placard', 'install exterior decal']","[4.0, 4.0]","['w403', 'w403']",3m3650-114:5h611 (scotchcal series 3650 clear 1.2 x 45 m),"['wspt', 'wspt']",805125508
"add no d105106 wac found lav 35, 53 and 75 seat cover compartment broken","['obey all of the warnings, cautions, and', 'remove of the toilet shroud and the seat', 'repair surface of washbasin compartment', 'paint surface of washbasin compartment l', 'install of the toilet shroud and the sea', 'restore area back to its serviceable con']","[0.1, 0.5, 4.0, 4.0, 1.0, 0.1]","['gah310c1', 'gah310c1', 'w401', 'w103', 'gah310c1', 'gah310c1']","a425400218-218:c5270 (axle)
nsa5067-08-2:f5442 (nut)
nsa5067-08-2:f5442 (nut)
velcrop320:gmfdm (abrasive paper 5' grade 320)
velcrop120:gmfdm (abrasive paper 5' grade 120)
microultra15-3:gmfdm (int surface fill bms 5-136a typ 2 clss)
34557-0000-0:d2603 (alexit int hardener 345-57)
34657-7708-7:d2603 (alexit int paint aic 2.16 fog)
ms24693c54:96906 (screw)
ms24693c54:96906 (screw)","['gah3', 'gah3', 'wscb', 'wsss', 'gah3', 'gah3']",805330257
add no d105108 seat 7k above ceiling compartment cracked,"['obey all of the warnings, cautions, and', 'do removal of the filler panel for send', 'repair the ceiling filler panel', 'paint the ceiling filler panel with aic', 'do installation the serviceable of the f', 'restore area back to its serviceable con']","[0.2, 0.4, 2.0, 1.0, 0.4, 0.2]","['gah310c1', 'gah310c1', 'w401', 'w103', 'gah310c1', 'gah310c1']","velcrop120:gmfdm (abrasive paper 5' grade 120)
microultra15-3:gmfdm (int surface fill bms 5-136a typ 2 clss)
34557-0000-0:d2603 (alexit int hardener 345-57)
34657-773x-7:fape3 (alexit int paint aic 2.49 dream grey)
ec3532ab:76381 (adhesive bms5-105 tyii cli(as ec3532ba))","['gah3', 'gah3', 'wscb', 'wsss', 'gah3', 'gah3']",805330305
add no d105121 lav 61 washbasin door detached due to lining assy lower bracket broken,"['obey all of the warnings, cautions, and', 'repair insert upper washbasin lavatory l', 'do installation the hinge of the access', 'restore area back to its serviceable con']","[0.2, 4.0, 4.0, 0.1]","['w401', 'w401', 'gah310c1', 'gah310c1']","ec2216ba:f6198 (adhesive 3m ty 1 cl 4)
nas1836-08-11:80205 (insert)
a425400292-200:c5270 (angle)
nsa5066-08-3:f5442 (nut)
nsa5066-08-3:f5442 (nut)","['wscb', 'wscb', 'gah3', 'gah3']",805330304
add no d105124 found all lavatories toilet seat cover with paint degraded / worn out,"['obey all of the warnings, cautions, and', 'do removal of the seat cover dispenser f', 'repair the seat dispenser panels', 'paint the seat dispenser panels with aic', 'do installation the serviceable of the s', 'restore area back to its serviceable con']","[0.2, 0.5, 8.0, 4.0, 0.5, 0.2]","['gah310c1', 'gah310c1', 'w401', 'w103', 'gah310c1', 'gah310c1']","velcrop120:gmfdm (abrasive paper 5' grade 120)
microultra15-3:gmfdm (int surface fill bms 5-136a typ 2 clss)
34557-0000-0:d2603 (alexit int hardener 345-57)
34657-7708-7:d2603 (alexit int paint aic 2.16 fog)
ec3532ab:76381 (adhesive bms5-105 tyii cli(as ec3532ba))","['gah3', 'gah3', 'wscb', 'wsss', 'gah3', 'gah3']",805330303
add no d105125 lav 75 trash compt door broken door temporarily secured,"['obey all of the warnings, cautions, and', 'do removal of the wash basin lining assy', 'repair the wahsbasin panel', 'repair the door washbasin panel', 'paint the washbasin panel with aic 2.16', 'paint the door washbasin panel with aic', 'do installation the serviceable of the w', 'restore area back to its serviceable con']","[0.2, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 0.2]","['gah310c1', 'gah310c1', 'w401', 'w401', 'w103', 'w103', 'gah310c1', 'gah310c1']","bacs12hn08-8:81205 (screw)
bacs12hn08-8:81205 (screw)
nas1096-2-10:80205 (screw)
as3208-08:81205 (packing)
velcrop320:gmfdm (abrasive paper 5' grade 320)
velcrop120:gmfdm (abrasive paper 5' grade 120)
microultra15-3:gmfdm (int surface fill bms 5-136a typ 2 clss)
34557-0000-0:d2603 (alexit int hardener 345-57)
34657-7708-7:d2603 (alexit int paint aic 2.16 fog)
ec3532ab:76381 (adhesive bms5-105 tyii cli(as ec3532ba))
a225400426-022:c5270 (angle)
a225400426-022:c5270 (angle)
f5757204920200:fape3 (bushing)","['gah3', 'gah3', 'wscb', 'wscb', 'wsss', 'wsss', 'gah3', 'gah3']",805330302
"add no d105139 crew seat at d2l, d2r, d3l, d3r velcro worn out (upper backrest cover 11 ea) (lower backrest cover 11 ea)","['obey all of the warnings, cautions, and', 'do removal the seat cover of attendant s', 'do replacement the velcro of attendant s', 'do installation the serviceable seat cov', 'restore area back to its serviceable con']","[0.1, 2.0, 10.0, 2.0, 0.1]","['gah310c1', 'gah310c1', 'w502', 'gah310c1', 'gah310c1']","151470500501009:gmfdm (hook tape silver, 15147f50050000001009)","['gah3', 'gah3', 'wssw', 'gah3', 'gah3']",805330301
add no d105140 aft crew seat found torn,"['obey all of the warnings, cautions, and', 'do replacement the seat cover seat pan o', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah310c1', 'gah310c1', 'gah310c1']",2b7098-11cwv:31218 (cover-assy seat pan),"['gah3', 'gah3', 'gah3']",805330259
add no d105141 17b tray table slanted,"['obey all of the warnings, cautions, and', 'do a check actual condition', 'do re-installation properly the back mou', 'restore area back to its serviceable con']","[0.2, 1.0, 1.0, 0.2]","['gah310c1', 'gah310c1', 'gah310c1', 'gah310c1']",,"['gah3', 'gah3', 'gah3', 'gah3']",805330258
add no d105142 d4l crew jumpseat headrest cover torn,"['obey all of the warnings, cautions, and', 'do check actual condition of the headres', 'do re-install of the cover assy upper ba', 'restore area back to its serviceable con']","[0.2, 0.2, 1.0, 0.2]","['gah310c1', 'gah310c1', 'gah310c1', 'gah310c1']",,"['gah3', 'gah3', 'gah3', 'gah3']",805330260
add no d105146 seat 1g cushion torn.,"['obey all of the warnings, cautions, and', 'do replacement the bottom seat cover', 'restore area back to its serviceable con']","[0.2, 0.6, 0.2]","['gah310c1', 'gah310c1', 'gah310c1']",1004850-449jw02:fape3 (cover assy-bottom xm-xax),"['gah3', 'gah3', 'gah3']",805330306
adm 19fp2 out of tolerance,"['obey all of the warnings, cautions, and', 'replace adm 19fp2', 'do the sytem test of the air data refere', 'do the bite test of the automatic flight', 'restore area back to its serviceable con']","[0.1, 3.0, 2.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",87232329v03:f9111 (adm-air data module),"['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805468797
adult spare life vest sn: l2083079 at coatroom near l54 found no validity date placard,"['obey all of the warnings, cautions, and', 'do replacement the lifevest of spare adu', 'restore area back to its serviceable con']","[1.0, 1.0, 0.1]","['gah330c1', 'gah310c1', 'gah310c1']","66601-105:70167 (life preserver, passenger sealed packed)","['gah3', 'gah3', 'gah3']",805142583
adult spare life vest sn: l2083081 at coatroom near l54 found packing torn and no validity date placard,"['obey all of the warnings, cautions, and', 'do replacement the life vest of adult sp', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah330c1', 'gah310c1', 'gah310c1']","66601-105:70167 (life preserver, passenger sealed packed)","['gah3', 'gah3', 'gah3']",805142582
af cargo partition panel 152uw puncture,"['obey all of the warnings, cautions and n', 'remove aft cargo sidewall 152uw', 'do visual inspection to determine the da', 'perform permanent repair to the damage a', 'apply a/c interior paint as existing col', 'install aft cargo sidewall 152uw', 'restore area back to its serviceable con']","[0.5, 5.0, 2.0, 6.0, 4.0, 5.0, 0.5]","['gah330a1', 'gah330a1', 'w302', 'w302', 'w403', 'gah330a1', 'gah330a1']","ec3524ba-blue:76381 (epoxy edge/adhepin blue void filling com)
34655-906q-7:fape3 (alexit int paint bac 7363 white)
34555-0000-0:fape3 (alexit hardener 345-55)","['gah3', 'gah3', 'wsst', 'wsst', 'wspt', 'gah3', 'gah3']",805468278
"aft armrest fairing crack and broken post 6efg,7adf,8abdefjk,9abdefgk ,10abdefjk,11abfj,12abefjk,14aefgj,15abdefj,16abdfj,17afjk,18befj ,19abefjk,20aefgj,21aefj,22bfjk,23befgjk,24abdefjk,25j,26f,27bdj ,28abdefgk,29abdefgk,30abdefgjk,31abefgjk,32abdefgjk,3","['obey all of the warnings, cautions, and', 'disassembly aft armrest fairing y/class', 'repair and cleaning aft armrest fairing', 'repaint aft armrest fairing y/class seat', 'assembly aft armrest fairing y/class sea', 'restore area back to its serviceable con']","[0.1, 10.0, 161.5, 161.5, 10.0, 0.1]","['w101', 'w101', 'w101', 'w101', 'w101', 'w101']","velcrop120:gmfdm (abrasive paper 5' grade 120)
microultra15-3:gmfdm (int surface fill bms 5-136a typ 2 clss)
cm40-106:gmfdm (alcohol 70%)
34557-0000-0-009:21213 (alexit hardener 345-57)
34657-71ya-7-278:d2603 (alexit int paint pantone 2u warm grey)","['wsss', 'wsss', 'wsss', 'wsss', 'wsss', 'wsss']",805495273
"aft armrest fairing missing post 10j, 28j, 39j, 35b, 39b","['note : obey all of the warnings, caution', 'complete the aft armrest fairing of pax', 'put the aircraft back to its usual condi']","[0.1, 2.0, 0.1]","['gah330c1', 'gah330c1', 'gah330c1']","f5725402220000:fape3 (ring)
nas601-6p:80205 (screw)
nas601-6p:80205 (screw)
nas601-6p:80205 (screw)
nas620-6l:80205 (washer)
861364-006n:3k723 (shroud-ife (inbd))
861364-005n:3k723 (shroud-ife (inbd))","['gah3', 'gah3', 'gah3']",805495274
aft belly fairing 197fb screw stuck 5ea,"['remove screw stuck.', 'replace plate-nuts.']","[8.0, 4.0]","['gah330s1', 'gah320s1']","asna2001t3-7:f6198 (screw)
nas1791a3-2:80205 (nut)
ms20426ad3-4:81205 (rivet (tbr))
asna2001v3-7:f5442 (crew)","['gah3', 'gah3']",805256423
aft belly fairing panel 197ab screw stuck 1ea,"['obey all warnings, cautions, and notes a', 'remove screw stuck', 'replace broken plate nut', 'install new screw']","[1.0, 4.0, 4.0, 2.0]","['gah330s1', 'gah330s1', 'gah330s1', 'gah330a1']","asna2001t3-17:f6198 (screw)
asna2001t3-5:f6198 (screw)
asna2001t3-6:f5442 (screw)
asna2001v3-5:f6198 (screw)
nas1791a3-2:80205 (nut)
abs0112-24-05:fape3 (rivet)","['gah3', 'gah3', 'gah3', 'gah3']",805256063
