finding_description,action_taken,work_centre,materials_required,man_hours
ENG #1 NOSE COWL HAS SIGN OF ERROSION (POS 04.00 & 06.00 O'CLOCK),APPLY PROTECTIVE TREATMENT TO THE BLENDE,W301,,4
ENG #1 NOSE COWL HAS SIGN OF ERROSION (POS 04.00 & 06.00 O'CLOCK),APPLY SERMETEL 1382 TO THE BLENDED OUT A,W403,,6
ENG #1 NOSE COWL HAS SIGN OF ERROSION (POS 04.00 & 06.00 O'CLOCK),"IDENTIFY THE REPAIR ""FRSZ015"" ONTO THE N",W301,"D2711004700000:FAPE3 (SWITCH)
D2711004700000:FAPE3 (SWITCH)",3
REFF ADD 01068022-10 02 COVER AT LH AND 03 COVER AT RH FLAP TRACK FAIRING MISSING,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210A1,,6
REFF ADD 01068022-10 02 COVER AT LH AND 03 COVER AT RH FLAP TRACK FAIRING MISSING,REPLACE COVER AT LH AND RH FLAP TRACK FA,GAH210A1,,0.2
REFF ADD 01068022-10 02 COVER AT LH AND 03 COVER AT RH FLAP TRACK FAIRING MISSING,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH210A1,,2
SUSPECT DENT BETWEEN FR 58A - 59 FRONT OF AFT CARGO DOOR,DO PAINT STRIPPING TO SURROUNDING DAMAGE,W403,,0.1
SUSPECT DENT BETWEEN FR 58A - 59 FRONT OF AFT CARGO DOOR,PREFORM DVI TO ENSURE DAMAGE TYPE AND LO,GAH210S1,,0.1
SUSPECT DENT BETWEEN FR 58A - 59 FRONT OF AFT CARGO DOOR,DO MEASUREMENT INITIAL AND REMAIN SKIN T,W808,QA07168:U0088 (FILTER ELEMENT),6
SUSPECT DENT BETWEEN FR 58A - 59 FRONT OF AFT CARGO DOOR,DO HFEC INSPECTION TO ENSURE ANY CRACK.,W807,RDFA1161-01:0FF57 (ETHERNET PRINTER),4
SUSPECT DENT BETWEEN FR 58A - 59 FRONT OF AFT CARGO DOOR,DAMAGE ASSESMENT:,GAH210S1,RDFA1161-01:0FF57 (ETHERNET PRINTER),0
SUSPECT DENT BETWEEN FR 58A - 59 FRONT OF AFT CARGO DOOR,RESTORE SURFACE PROTECTION AND PAINT FIN,W403,RDFA1161-01:0FF57 (ETHERNET PRINTER),0
SUSPECT DENT BETWEEN FR 58A - 59 FRONT OF AFT CARGO DOOR,NOTE:,GAH210S1,"7266-110181A:35FB9 (INFLATABLE BUCKLE HALF ASSEMBLY LH)
7266-220181A:35FB9 (INFLATABLE BUCKLE HALF ASSEMBLY RH)",2
DENT ON LOWER OUTBOARD FLAP LH WING AT RIB 10 ZONE 5,THIS DAMAGE WAS ALREADY PERFORM PERMANEN,W302,"S011976:GMFDM (BAC94333 - LUNA PATTERN, MEDIUM GLOSS)",2
REFF ADD 01176573-14 LAV 53 COVER OF WASTE BIN NOT PROPERLY CLOSED,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,2B7098-11APX:31218 (COVER-ASSY SEAT PAN),2
REFF ADD 01176573-14 LAV 53 COVER OF WASTE BIN NOT PROPERLY CLOSED,REMOVE THE COVER OF WASTE BIN,GAH310C1,,8
REFF ADD 01176573-14 LAV 53 COVER OF WASTE BIN NOT PROPERLY CLOSED,INSTALL THE COVER OF WASTE BIN,GAH310C1,,8
REFF ADD 01181874-05 03 XZ LATCH AT FWD CARGO AND XZ LATCH AT AFT CARGO MISSING 1 SPRING,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210A1,,8
REFF ADD 01181874-05 03 XZ LATCH AT FWD CARGO AND XZ LATCH AT AFT CARGO MISSING 1 SPRING,REPLACE SPRING XZ LATCH,GAH210A1,CROSSCHECK-PLUS-RED:98148 (MARKER PAINT TAMPER PROOF(BMS8-45TYII)),8
REFF ADD 01181874-05 03 XZ LATCH AT FWD CARGO AND XZ LATCH AT AFT CARGO MISSING 1 SPRING,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH210A1,CROSSCHECK-PLUS-RED:98148 (MARKER PAINT TAMPER PROOF(BMS8-45TYII)),0
REFF ADD 01176578-06 OUTLET AIR INDIVIDUAL AT LAV 11 BROKEN,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,ABS0367-030:FAPE3 (STUD),0.5
REFF ADD 01176578-06 OUTLET AIR INDIVIDUAL AT LAV 11 BROKEN,REMOVE THE SERVICE CABINET LAVATORY,GAH310C1,,2
REFF ADD 01176578-06 OUTLET AIR INDIVIDUAL AT LAV 11 BROKEN,REPLACE THE INDIVIDUAL AIR OUTLET LAVATO,GAH310C1,"J221P271:07482 (PACKING-PREFORMED O-RING)
NSA8203-132:F5442 (ORING)
A08000:C3406 (ACTUATOR, FIRE SOV)
B12000:C3406 (VALVE, FUEL FIRE S.O. (CDCCL))
NSA8203-212:F5442 (ORING)",6
REFF ADD 01176578-06 OUTLET AIR INDIVIDUAL AT LAV 11 BROKEN,INSTALL THE SERVICE CABINET LAVATORY,GAH310C1,"3552AAAWAACXCD:53655 (CYLINDER, PORTABLE OXYGEN)",1.5
REFF ADD 01068043-07 COVER OF ARMING LEVER AT DOOR 2L IS BROKEN,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,"3552AAAWAACXCD:53655 (CYLINDER, PORTABLE OXYGEN)",0.2
REFF ADD 01068043-07 COVER OF ARMING LEVER AT DOOR 2L IS BROKEN,REMOVE THE COVER ARMING LEVER,GAH310C1,,4
REFF ADD 01068043-07 COVER OF ARMING LEVER AT DOOR 2L IS BROKEN,INSTALL THE SERVICEABLE COVER ARMING LEV,GAH310C1,,2
RH TAXI/TAKE OFF LIGHT NOT ILL,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210E1,RDFA1161-01:0FF57 (ETHERNET PRINTER),3
RH TAXI/TAKE OFF LIGHT NOT ILL,REPLACE LAMP AT LH TAXI/AKE OFF,GAH210E1,RDFA1161-01:0FF57 (ETHERNET PRINTER),0
RH TAXI/TAKE OFF LIGHT NOT ILL,DO OPERATIONAL TEST OF THE TAXI/TAKE OFF,GAH210E1,"P0640-101:57399 (LIFE VEST-INFANT)
P0723-103WC:57399 (CREW LIFE VEST)",3
RH TAXI/TAKE OFF LIGHT NOT ILL,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH210ZZ,"P0640-101:57399 (LIFE VEST-INFANT)
P0723-103WC:57399 (CREW LIFE VEST)",1
"END CAP AND SCREWS OF ANGLE ""L"" CURTAIN DOOR 1RH FOUND NOT INSTALL","OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,"P0640-101:57399 (LIFE VEST-INFANT)
P0723-103WC:57399 (CREW LIFE VEST)",0.5
"END CAP AND SCREWS OF ANGLE ""L"" CURTAIN DOOR 1RH FOUND NOT INSTALL","INSTALL ENDCAP AND SCREWS OF ANGLE ""L"" C",GAH310C1,513766-401-42:35FB9 (EMA - AIRBAG),1
ALL C CLASS SEAT NET FOUND NOT PROPER INSTALL,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,,1
ALL C CLASS SEAT NET FOUND NOT PROPER INSTALL,INSTALL PROPERLY C/CLASS SEAT NET,GAH310C1,"MS9967-012:96906 (PACKING)
MS9967-012:96906 (PACKING)
A5735007620200:FAPE3 (GASKET)
PR1829B1-2:83574 (WINDSHIELD SEALANT (CT 4H))
513766-401-42:35FB9 (EMA - AIRBAG)
SUPERBEE-210:71361 (EXTERIOR DRY WASH / WET WASH CLEANER)",0
PASSENGER LIFE VEST POS 17F AND 47K NOT INSTALLED,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,HLX64621:017J3 (LAMP (PREFER USE OSRAM PRODUCT)),2
PASSENGER LIFE VEST POS 17F AND 47K NOT INSTALLED,INSTALL THE SERVICEABLE LIFEVEST,GAH310C1,,0
PASSENGER LIFE VEST POS 40A AND 33A FOUND TEAR OFF,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,"0-132-004600000:D2249 (CATCH, SINGLE REVOLVING)",0
PASSENGER LIFE VEST POS 40A AND 33A FOUND TEAR OFF,REPLACE THE PAX LIFE VEST,GAH310C1,,0
ENG#1 GREEN EDP SIGN OF LEAK,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210A1,,1
ENG#1 GREEN EDP SIGN OF LEAK,REPLACE PACKING ENG #1GREEN EDP,GAH210A1,,2.3
ENG#1 GREEN EDP SIGN OF LEAK,DO THE OPERATIONAL TEST OF THE GREEN HYD,GAH210A1,,0.2
ENG#1 GREEN EDP SIGN OF LEAK,DO THE OPERATIONAL TEST OF THE GREEN-ENG,GAH210A1,,0.5
ENG#1 GREEN EDP SIGN OF LEAK,DO THE OPERATIONAL TEST OF THE FSOVS,GAH210A1,,0.3
ENG#1 GREEN EDP SIGN OF LEAK,DO A DRY-MOTORING LEAK CHECK AND LEAK CH,GAH210A1,,0.1
ENG#1 GREEN EDP SIGN OF LEAK,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH210A1,,0.5
ENG#2 GREEN EDP SIGN OF LEAK,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210A1,,0.5
ENG#2 GREEN EDP SIGN OF LEAK,REPLACE PACKING ENG #1 GREEN EDP,GAH210A1,,0.1
ENG#2 GREEN EDP SIGN OF LEAK,DO THE OPERATIONAL TEST OF THE GREEN HYD,GAH210A1,,0.5
ENG#2 GREEN EDP SIGN OF LEAK,DO THE OPERATIONAL TEST OF THE GREEN-ENG,GAH210A1,,3
ENG#2 GREEN EDP SIGN OF LEAK,DO THE OPERATIONAL TEST OF THE FSOVS,GAH210A1,,0
ENG#2 GREEN EDP SIGN OF LEAK,DO A DRY-MOTORING LEAK CHECK AND LEAK CH,GAH210A1,,0
ENG#2 GREEN EDP SIGN OF LEAK,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH210A1,ECL-G-5840:91342 (ECLIPSE-LIGHT GREEN BAC 4890 (PMS 7472C)),0
REFF ADD 01181893-01 RH CTR SIDE NOSE L/G DOOR SEAL DAMAGED,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210A1,,1
REFF ADD 01181893-01 RH CTR SIDE NOSE L/G DOOR SEAL DAMAGED,REPLACE RUBBER SEAL RH CTR SIDE NOSE L/G,GAH210A1,,4
REFF ADD 01181893-01 RH CTR SIDE NOSE L/G DOOR SEAL DAMAGED,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH210A1,026-35-999-3211:D8114 (BOOMSET),0
RH LANDING GEAR DOOR OPENNING HANDLE SHEAR PIN BROKEN,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210A1,,0.3
RH LANDING GEAR DOOR OPENNING HANDLE SHEAR PIN BROKEN,REPLACE SHEAR PIN,GAH210A1,,0.7
RH LANDING GEAR DOOR OPENNING HANDLE SHEAR PIN BROKEN,DO FUNCTIONAL TEST OF THE OPEN AND CLOSE,GAH210A1,F5757413020400:FAPE3 (CAP),0
RH LANDING GEAR DOOR OPENNING HANDLE SHEAR PIN BROKEN,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH210A1,,4
ROLLER BLIND LH SLIDING WINDOW FOUND TEAR OFF,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,,1
ROLLER BLIND LH SLIDING WINDOW FOUND TEAR OFF,REPLACE THE ROLLER BLIND OF SLIDING WIND,GAH310C1,"M25988-4-265:81349 (PACKING)
568-1-28300-103:K2523 (PUMP, FUEL BOOST TYPE 8810 MK103)
NSA8203-224:F5442 (ORING)",4
ROLLER BLIND LH FIX WINDOW FOUND TEAR OFF,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,"4063-18221:C0002 (VALVE ISOLATION, FWD CRG)",0
ROLLER BLIND LH FIX WINDOW FOUND TEAR OFF,REPLACE THE ROLLER BLIND OF FIXED WINDOW,GAH310C1,,1
"STRAP LIFEVEST FOUND NOT INSTALL POS 32H,26H,22G","OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,,3
"STRAP LIFEVEST FOUND NOT INSTALL POS 32H,26H,22G",INSTALL THE STRAP LIFEVEST ON Y/CLASS SE,GAH310C1,PR1829B1-2:83574 (WINDSHIELD SEALANT (CT 4H)),2
SEAT 22K CAN'T FULLY STOW,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,DEP6000MK3:K0680 (PLUG - DATA ENTRY),1
SEAT 22K CAN'T FULLY STOW,DO ADJUSTMENT OF THE Y/CLASS SEAT,GAH310C1,,2
RECLINE BUTTON FOUND STUCK POSITION 31G (NEED RECLINE PUSH BUTTON),"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,"P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103WC:57399 (CREW LIFE VEST)",1
RECLINE BUTTON FOUND STUCK POSITION 31G (NEED RECLINE PUSH BUTTON),REPLACE THE RECLINE BUTTON,GAH310C1,"P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103WC:57399 (CREW LIFE VEST)",1
RECLINE BUTTON FOUND STUCK POSITION 31G (NEED RECLINE PUSH BUTTON),DO ADJUSTMENT OF THE RECLINE Y/CLASS SEA,GAH310C1,"P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103WC:57399 (CREW LIFE VEST)",1
"RECLINE BUTTON FOUND STUCK POS 23J , 31H","OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,,0
"RECLINE BUTTON FOUND STUCK POS 23J , 31H",DO ADJUSTMENT OF THE RECLINE BUTTON Y/CL,GAH310C1,,0
IAT ARMCAP SEAT FOUND NOT INSTALL POS 35H,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,1011810-001HF04:FAPE3 (ARM ASY-SINGLE (NEED RD-KM7615-028)),0
IAT ARMCAP SEAT FOUND NOT INSTALL POS 35H,INSTALL IAT ARMCAP OF SEAT,GAH310C1,"C12849AB03:F9111 (CONTROL UNIT, FLIGHT-FCU)",2
"RECLINE SEAT POS 25H,29K,45H CAN'T LOCK","OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,,1
"RECLINE SEAT POS 25H,29K,45H CAN'T LOCK",REPLACE THE ULTRALOCK OF SEAT,GAH310C1,"63600-505:70167 (AC-2000 LIFE PRESERVER)
P0640-101:57399 (LIFE VEST-INFANT)
P0640-101:57399 (LIFE VEST-INFANT)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)",3
"SEAT 1A,1G,1H,1K,2A,2C,2D,2G,2H,2K COVER TOGGLE RECLINE BED CRACK","OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,"63600-505:70167 (AC-2000 LIFE PRESERVER)
P0640-101:57399 (LIFE VEST-INFANT)
P0640-101:57399 (LIFE VEST-INFANT)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)",1
"SEAT 1A,1G,1H,1K,2A,2C,2D,2G,2H,2K COVER TOGGLE RECLINE BED CRACK",REMOVE COVER TOGGLE RECLINE OF C/CLASS S,GAH310C1,"63600-505:70167 (AC-2000 LIFE PRESERVER)
P0640-101:57399 (LIFE VEST-INFANT)
P0640-101:57399 (LIFE VEST-INFANT)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)",0.5
"SEAT 1A,1G,1H,1K,2A,2C,2D,2G,2H,2K COVER TOGGLE RECLINE BED CRACK",REPAIR AND TOUCH UP PAINT COVER TOGGLE R,GAH310C1,"P0723-103W:57399 (ADULT LIFE VEST)
P0723-103WC:57399 (CREW LIFE VEST)",1
"SEAT 1A,1G,1H,1K,2A,2C,2D,2G,2H,2K COVER TOGGLE RECLINE BED CRACK",INSTALL COVER TOGGLE RECLINE OF C/CLASS,GAH310C1,"P0723-103W:57399 (ADULT LIFE VEST)
P0723-103WC:57399 (CREW LIFE VEST)",1
"SEAT 1A, 1C, 1D, 1H, 2A, 2D FOUND COVER TABLE CRACK","OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,"P0723-103W:57399 (ADULT LIFE VEST)
P0723-103WC:57399 (CREW LIFE VEST)",1
"SEAT 1A, 1C, 1D, 1H, 2A, 2D FOUND COVER TABLE CRACK",REMOVE THE FOODTRAY TABLE FOR REPAIR,GAH310C1,,2
"SEAT 1A, 1C, 1D, 1H, 2A, 2D FOUND COVER TABLE CRACK",REPAIR AND TOUCH UP PAINT THE FOODTRAY T,GAH310C1,"LA2L51518HM0100:F9111 (LIMITER, BATTERY CHARGER)",1
"SEAT 1A, 1C, 1D, 1H, 2A, 2D FOUND COVER TABLE CRACK",INSTALL THE FOODTRAY TABLE,GAH310C1,129100-1009:C1572 (PDU-POWER DRIVE UNIT),2
AFT CARGO SERVICE LIGHT NOT ILL 3 EA,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210E1,129100-1009:C1572 (PDU-POWER DRIVE UNIT),0
AFT CARGO SERVICE LIGHT NOT ILL 3 EA,REPLACE LAMP AT AFT CARGO,GAH210E1,,1
AFT CARGO SERVICE LIGHT NOT ILL 3 EA,DO OPERATIONAL TEST OF THE LIGHT,GAH210E1,,1
AFT CARGO SERVICE LIGHT NOT ILL 3 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH210E1,,1
IP VALVE NON RETURN ENG #1 NEED REINSTALL AFTER CANCEL ROBBING FROM VN-A811,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210A1,,1
IP VALVE NON RETURN ENG #1 NEED REINSTALL AFTER CANCEL ROBBING FROM VN-A811,INSTALL ENG #1 IP CHECK VALVE,GAH210A1,TA9125-00:D1227 (TOILET ASSEMBLY RH),1
IP VALVE NON RETURN ENG #1 NEED REINSTALL AFTER CANCEL ROBBING FROM VN-A811,DO LEAK CHECK,GAH210A1,TA9125-00:D1227 (TOILET ASSEMBLY RH),2
IP VALVE NON RETURN ENG #1 NEED REINSTALL AFTER CANCEL ROBBING FROM VN-A811,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH210A1,,0
"LENS COVER POS L53, L75 AND L76 FOUND DETACHED AND BAD CONDITION","OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,,2
"LENS COVER POS L53, L75 AND L76 FOUND DETACHED AND BAD CONDITION",REMOVE THE COVER LAMP LAVATORY,GAH310C1,,4
"LENS COVER POS L53, L75 AND L76 FOUND DETACHED AND BAD CONDITION",REINSTALL PROPERLY LENS OF COVER LAMP LA,GAH310C1,P0723-103W:57399 (ADULT LIFE VEST),0.2
"LENS COVER POS L53, L75 AND L76 FOUND DETACHED AND BAD CONDITION",INSTALL THE COVER LAMP LAVATORY,GAH310C1,P0723-103W:57399 (ADULT LIFE VEST),0.2
BRACKET DOOR WASTE COMPARTMENT FOUND CRACK POS L54 AND L61,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,P0723-103W:57399 (ADULT LIFE VEST),0.2
BRACKET DOOR WASTE COMPARTMENT FOUND CRACK POS L54 AND L61,REMOVE THE DOOR WASTE COMPARTMENT LAVATO,GAH310C1,P0723-103W:57399 (ADULT LIFE VEST),1
BRACKET DOOR WASTE COMPARTMENT FOUND CRACK POS L54 AND L61,REPAIR BRACKET DOOR WASTE COMPARTMENT PO,W401,P0723-103W:57399 (ADULT LIFE VEST),0.2
BRACKET DOOR WASTE COMPARTMENT FOUND CRACK POS L54 AND L61,PAINT BRACKET DOOR WASTE COMPARTMENT POS,W103,P0723-103W:57399 (ADULT LIFE VEST),1
BRACKET DOOR WASTE COMPARTMENT FOUND CRACK POS L54 AND L61,INSTALL THE DOOR WASTE COMPARTMENT LAVAT,GAH310C1,P0723-103W:57399 (ADULT LIFE VEST),0.2
DOOR WASTE COMPARTMENT PAINT PEEL OFF POS L76 AND L61,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,,2
DOOR WASTE COMPARTMENT PAINT PEEL OFF POS L76 AND L61,REMOVE THE WASHBASIN DOOR FOR SEND TO SH,GAH310C1,,2
DOOR WASTE COMPARTMENT PAINT PEEL OFF POS L76 AND L61,REPAIR SURFACE DOOR WASTE COMPARTMENT,W401,,3
DOOR WASTE COMPARTMENT PAINT PEEL OFF POS L76 AND L61,PAINT WITH AIC 2.16 FOG,W103,,1
DOOR WASTE COMPARTMENT PAINT PEEL OFF POS L76 AND L61,INSTALL THE WASHBASIN DOOR,GAH310C1,,4.5
TISSUE PANEL PAINT PEEL OFF POS L61,GENERAL:,W401,,4
TISSUE PANEL PAINT PEEL OFF POS L61,REPAIR SURFACE OF TISSUE PANEL,W401,,6
TISSUE PANEL PAINT PEEL OFF POS L61,PAINT WITH AIC 2.49 DREAM GREY,W103,X-500-8-B-6A:GMFDM (LAMINAR X-500 BLACK (ALT.P/N 8B6A-50C3A)),0
LATCH OF DOOR COATROOM C2-4B FOUND NOT INSTALL,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,"515K011-910012:0ZX56 (SEALANT PRIMER (515K011-910-012))
ECL-G-1622-PC233-TR109:91342 (PAINT-ECLIPSE-WHITE BAC70846)
CA7870-910X464:83574 (ANTISTATIC COATING BMS10-21 TYPE IV)",0
LATCH OF DOOR COATROOM C2-4B FOUND NOT INSTALL,REPLACE LATCH OF DOOR COATROOM,GAH310C1,C24857000-1:F6137 (SWIVEL VALVE),0
TUBE LAMP CEILING DOOR 1RH AND 2RH NOT ILL 2EA,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,"22,2402777777778 (BULB (1 PACK = 10 EA))
CM8A103:71744 (LAMP)
CM8A103:71744 (LAMP)",0
TUBE LAMP CEILING DOOR 1RH AND 2RH NOT ILL 2EA,TROUBLESHOOT THE TUBE LAMP OF ENTRY CEIL,GAH310C1,"CR3524-6-03:1B6R3 (RIVET)
CR3524-6-03:1B6R3 (RIVET)
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-6-3:05693 (RIVET, CHERRYMAX (AS PN CR3552-6-03))
MS20427M5-5:81205 (RIVET)
MS20427M5-6:81205 (RIVET)
PL-32M:FAPE3 (JOINTING COMPOUND)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)",8
TUBE LAMP CEILING DOOR 1RH AND 2RH NOT ILL 2EA,REPLACE THE TUBE LAMP OF ENTRY CEILING L,GAH310C1,"CR3524-6-03:1B6R3 (RIVET)
CR3524-6-03:1B6R3 (RIVET)
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-6-3:05693 (RIVET, CHERRYMAX (AS PN CR3552-6-03))
MS20427M5-5:81205 (RIVET)
MS20427M5-6:81205 (RIVET)
PL-32M:FAPE3 (JOINTING COMPOUND)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)",18
TUBE LAMP CEILING DOOR 1RH AND 2RH NOT ILL 2EA,OPERATIONAL TEST OF THE ENTRY CEILING LI,GAH310C1,"CR3524-6-03:1B6R3 (RIVET)
CR3524-6-03:1B6R3 (RIVET)
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-6-3:05693 (RIVET, CHERRYMAX (AS PN CR3552-6-03))
MS20427M5-5:81205 (RIVET)
MS20427M5-6:81205 (RIVET)
PL-32M:FAPE3 (JOINTING COMPOUND)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)",1.5
ENG#1 NOSE COWL SOME RIVETS NOT PROPERLY INSTALLED AT 6 O'CLOCK 52 EA,"OBEY ALL WARNINGS, CAUTIONS, AND NOTES A",W301,"CR3524-6-03:1B6R3 (RIVET)
CR3524-6-03:1B6R3 (RIVET)
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-6-3:05693 (RIVET, CHERRYMAX (AS PN CR3552-6-03))
MS20427M5-5:81205 (RIVET)
MS20427M5-6:81205 (RIVET)
PL-32M:FAPE3 (JOINTING COMPOUND)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)",11
ENG#1 NOSE COWL SOME RIVETS NOT PROPERLY INSTALLED AT 6 O'CLOCK 52 EA,PERFORM REPLACEMENT NOT PROPERLY INSTALL,W301,"CR3524-6-03:1B6R3 (RIVET)
CR3524-6-03:1B6R3 (RIVET)
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-6-3:05693 (RIVET, CHERRYMAX (AS PN CR3552-6-03))
MS20427M5-5:81205 (RIVET)
MS20427M5-6:81205 (RIVET)
PL-32M:FAPE3 (JOINTING COMPOUND)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)",11
FAN NOSE COWL SEAL ENG #2 NEAR LATCH NEED REINSTALL WITH NEW FASTENERS,"OBEY ALL WARNINGS, CAUTIONS, AND NOTES A",W301,"CR3524-6-03:1B6R3 (RIVET)
CR3524-6-03:1B6R3 (RIVET)
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-6-3:05693 (RIVET, CHERRYMAX (AS PN CR3552-6-03))
MS20427M5-5:81205 (RIVET)
MS20427M5-6:81205 (RIVET)
PL-32M:FAPE3 (JOINTING COMPOUND)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)",38
FAN NOSE COWL SEAL ENG #2 NEAR LATCH NEED REINSTALL WITH NEW FASTENERS,PERFORM RE-INSTALL THE SEAL WITH NEW FAS,W301,"CR3524-6-03:1B6R3 (RIVET)
CR3524-6-03:1B6R3 (RIVET)
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-6-3:05693 (RIVET, CHERRYMAX (AS PN CR3552-6-03))
MS20427M5-5:81205 (RIVET)
MS20427M5-6:81205 (RIVET)
PL-32M:FAPE3 (JOINTING COMPOUND)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)",2
ENG#1 CNA STRUTS POS 08:00 O'CLOCK OVERPLAY,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210A1,"CR3524-6-03:1B6R3 (RIVET)
CR3524-6-03:1B6R3 (RIVET)
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-5-3:04795 (RIVET (AS PN CR3552-5-03))
CR3552-6-3:05693 (RIVET, CHERRYMAX (AS PN CR3552-6-03))
MS20427M5-5:81205 (RIVET)
MS20427M5-6:81205 (RIVET)
PL-32M:FAPE3 (JOINTING COMPOUND)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)
CR3522-6-4:11815 (RIVET)",15
